link, data, titulo, texto, verdadeira, origem 
https://checamos.afp.com/o-video-de-leitos-vazios-e-de-um-hospital-que-tinha-internados-por-covid-19-em-outras-utis-no-dia,27 abril 2021 às 18:55,O vídeo de leitos vazios é de um hospital que tinha internados por covid-19 em outras UTIs no dia,"Um vídeo em que uma profissional de saúde percorre uma Unidade de Tratamento Intensivo (UTI) exibindo leitos vazios e cantando em comemoração foi compartilhado centenas de milhares de vezes em múltiplos idiomas desde o final do último mês de março, como se retratasse a “realidade” da pandemia de covid-19 no Brasil. Isso é enganoso. As imagens mostram uma ala de um hospital da Unimed em João Pessoa (PB), que no dia da gravação possuía mais de 70 internados por covid-19 em outras UTIs. Já na Grande João Pessoa, a ocupação dos leitos de UTI adulto era de 93% quando a sequência foi feita. ",0,site
https://checamos.afp.com/vacinas-de-rna-nao-causam-doencas-autoimunes-nem-matam-quem-recebe,27 abril 2021 às 11:51,As vacinas de RNA não causam doenças autoimunes nem matam quem as recebe,"As vacinas de RNA mensageiro contra a covid-19 têm como objetivo o “despovoamento” e causarão um “caos” no organismo humano mediante reações autoimunes de “três a seis meses” depois de sua aplicação, afirmam publicações e textos compartilhados mais de 6 mil vezes desde o último dia 22 de março. Mas esses supostos efeitos adversos não condizem com o funcionamento das vacinas, segundo especialistas consultados. Tampouco foram registrados nos testes clínicos, iniciados em julho de 2020, ou nas pessoas que já receberam doses deste tipo de imunizante.",0,site
https://checamos.afp.com/nao-um-estudo-da-universidade-de-stanford-nao-indicou-que-mascaras-sao-ineficazes-contra-covid,22 abril 2021 às 18:39,"Não, um estudo da Universidade de Stanford não indicou que máscaras são ineficazes contra a covid","Publicações compartilhadas em redes sociais desde meados de abril asseguram que um estudo da Universidade de Stanford demonstrou que máscaras são ineficazes contra a covid-19 e que podem causar graves danos à saúde. Mas, o estudo citado não foi feito pela Universidade de Stanford: é o trabalho de um autor único publicado em uma revista que divulga “artigos teóricos” baseados em “ideias radicais”. Além disso, os supostos efeitos colaterais atribuídos às máscaras foram desmentidos por diversos especialistas consultados pela AFP.",0,site
https://checamos.afp.com/no-inicio-do-carnaval-de-2020-ainda-nao-havia-casos-registrados-de-covid-19-no-brasil,22 abril 2021 às 17:59,No início do carnaval de 2020 ainda não havia casos registrados de covid-19 no Brasil,"Voltaram a circular nas redes sociais em 2021 publicações alegando que os governadores não cancelaram o carnaval de 2020, mesmo após o presidente Jair Bolsonaro ter decretado o estado de emergência no país devido ao novo coronavírus. As postagens, compartilhadas mais de 10 mil vezes desde abril do ano passado, também sugerem que, ao contrário de Bolsonaro, os governadores teriam “assumido o risco” da propagação da covid-19. Elas omitem, entretanto, que o decreto não determinava a suspensão de eventos e que, quando o carnaval começou, ainda não havia sido registrado nenhum caso da doença no Brasil. ",0,site
https://checamos.afp.com/os-fios-pretos-dentro-das-mascaras-nao-sao-parasitas-mas-fibras-texteis-inofensivas,19 abril 2021 às 16:45,"Os fios pretos dentro das máscaras não são parasitas, mas fibras têxteis inofensivas","Vídeos com experimentos que supostamente revelam que as máscaras contra covid-19 escondem parasitas em seu interior foram visualizados mais de 100 mil vezes em redes sociais ao menos desde o final de março. Nas gravações, compartilhadas em múltiplos idiomas, é possível ver pequenos fios pretos que, em alguns casos, se movem. No entanto, especialistas consultados pela AFP que recriaram os experimentos asseguraram que o que se vê não são organismos vivos, mas fibras que se aderem às máscaras e que se movem devido a correntes de ar ou por efeito da eletricidade estática.",0,site
https://checamos.afp.com/alberto-fernandez-reforcou-tarefas-sanitarias-dos-militares-nao-deu-eles-um-papel-na-seguranca,15 abril 2021 às 18:48,"Alberto Fernández reforçou as tarefas sanitárias dos militares, não deu a eles um papel na segurança","Após o presidente argentino, Alberto Fernández, anunciar, em 14 de abril, um endurecimento nas medidas de combate à covid-19 no país, começou a circular nas redes e em meios de comunicação que a Argentina havia ordenado que as Forças Armadas fizessem cumprir essa decisão. Até mesmo o presidente Jair Bolsonaro reproduziu essas versões. Mas, na verdade, o anúncio de Fernández reforça as tarefas de cuidado sanitário que os militares já exerciam desde o início da pandemia e não prevê sua participação em operações de segurança interna. Além disso, é incorreto o período de toque de recolher viralizado.",0,site
https://checamos.afp.com/artigo-sancionado-por-bolsonaro-e-de-lei-contra-stalking-nao-contra-acao-de-governadores,13 abril 2021 às 16:44,"Artigo sancionado por Bolsonaro é de lei contra ‘stalking’, não contra a ação de governadores","“Prender trabalhador agora é crime. Bolsonaro sanciona lei que permite processar criminalmente governadores e prefeitos tiranos”, garantem publicações amplamente compartilhadas em redes sociais desde o início de abril. As postagens se baseiam em um artigo que realmente foi sancionado, mas em uma lei contra a prática de ‘stalking’ - contatos forçados entre um agressor e a vítima - e não sobre a ação de autoridades para garantir o cumprimento das medidas de combate à covid-19.",0,site
https://checamos.afp.com/imagens-de-banhistas-expulsando-guardas-municipais-da-praia-sao-de-2012,12 abril 2021 às 17:28,Imagens de banhistas expulsando guardas municipais da praia são de 2012,"Um vídeo em que banhistas expulsam guardas municipais da praia de Ipanema, no Rio de Janeiro, tem circulado desde o último 27 de março nas redes sociais, com mais de 71 mil compartilhamentos, como se fosse um protesto contra as medidas restritivas da pandemia de covid-19. No entanto, essas imagens foram feitas em outubro de 2012 durante uma confusão desencadeada pela repressão à prática de altinho, um esporte tradicional nas areias cariocas. ",0,site
https://checamos.afp.com/foto-de-ivete-sangalo-e-marido-rodeados-de-pessoas-e-anterior-pandemia,12 abril 2021 às 14:38,A foto de Ivete Sangalo e marido rodeados de pessoas é anterior à pandemia,"Uma foto da cantora Ivete Sangalo sentada em uma mesa repleta de pessoas foi compartilhada mais de 15 mil vezes em redes sociais desde o início de abril, após o marido da artista dizer que sua família só havia contraído covid-19 por ter tido contato com uma cozinheira. “Os convidados das farras são totalmente inocentes?”, questionou um usuário. A foto da cantora cercada de pessoas foi feita, contudo, em 25 dezembro de 2019, antes da Organização Mundial da Saúde (OMS) ser formalmente notificada sobre a existência do novo coronavírus.",0,site
https://checamos.afp.com/gravacao-de-reportagem-sobre-rotina-de-coveiros-circula-como-se-fosse-enterro-falso-por-covid-19,09 abril 2021 às 16:04,Gravação de reportagem sobre rotina de coveiros circula como se fosse enterro falso por covid-19,"Um vídeo que, segundo seu narrador, mostra jornalistas simulando um enterro de uma pessoa falecida por covid-19 para enganar a audiência foi visualizado mais de 3 milhões de vezes em redes sociais desde o último dia 31 de março. Mas, na verdade, as imagens retratam a gravação de uma reportagem sobre o trabalho diário de coveiros.",0,site
